 GRID IS READ
 METRIC IS CALCULATED
 INITIAL SOLUTION IS GENERATED
 RESTART OPTION: INITIAL SOLUTION IS READ
 HYDROSTATIC PRESSURE IS CALCULATED 
 CONVERGENCE HISTORY FILES ARE OPENED
    1097 0.123E-04 0.503E-05 0.305E-05 0.603E-05
    1098 0.125E-04 0.481E-05 0.403E-05 0.471E-05
    1099 0.127E-04 0.560E-05 0.434E-05 0.453E-05
    1100 0.128E-04 0.523E-05 0.381E-05 0.488E-05
    1101 0.128E-04 0.560E-05 0.373E-05 0.455E-05
    1102 0.129E-04 0.560E-05 0.237E-05 0.454E-05
    1103 0.129E-04 0.797E-05 0.522E-05 0.454E-05
    1104 0.130E-04 0.563E-05 0.463E-05 0.453E-05
    1105 0.129E-04 0.580E-05 0.235E-05 0.452E-05
    1106 0.129E-04 0.812E-05 0.267E-05 0.452E-05
    1107 0.127E-04 0.578E-05 0.259E-05 0.648E-05
    1108 0.125E-04 0.465E-05 0.261E-05 0.523E-05
    1109 0.123E-04 0.448E-05 0.243E-05 0.451E-05
    1110 0.120E-04 0.925E-05 0.323E-05 0.577E-05
    1111 0.117E-04 0.679E-05 0.383E-05 0.515E-05
    1112 0.113E-04 0.499E-05 0.299E-05 0.514E-05
    1113 0.109E-04 0.503E-05 0.607E-05 0.514E-05
    1114 0.105E-04 0.516E-05 0.259E-05 0.513E-05
    1115 0.104E-04 0.797E-05 0.250E-05 0.512E-05
    1116 0.103E-04 0.578E-05 0.401E-05 0.512E-05
    1117 0.110E-04 0.694E-05 0.246E-05 0.511E-05
    1118 0.110E-04 0.386E-05 0.463E-05 0.511E-05
    1119 0.110E-04 0.868E-05 0.357E-05 0.510E-05
    1120 0.110E-04 0.568E-05 0.411E-05 0.509E-05
    1121 0.104E-04 0.606E-05 0.318E-05 0.509E-05
    1122 0.940E-05 0.418E-05 0.434E-05 0.508E-05
    1123 0.940E-05 0.405E-05 0.372E-05 0.507E-05
    1124 0.940E-05 0.587E-05 0.441E-05 0.507E-05
    1125 0.783E-05 0.729E-05 0.356E-05 0.506E-05
    1126 0.835E-05 0.486E-05 0.521E-05 0.506E-05
    1127 0.731E-05 0.635E-05 0.492E-05 0.505E-05
    1128 0.574E-05 0.516E-05 0.470E-05 0.504E-05
    1129 0.574E-05 0.528E-05 0.376E-05 0.504E-05
    1130 0.418E-05 0.703E-05 0.391E-05 0.503E-05
    1131 0.418E-05 0.597E-05 0.391E-05 0.503E-05
    1132 0.373E-05 0.784E-05 0.339E-05 0.502E-05
    1133 0.351E-05 0.336E-05 0.406E-05 0.502E-05
    1134 0.387E-05 0.560E-05 0.422E-05 0.501E-05
    1135 0.420E-05 0.523E-05 0.492E-05 0.501E-05
    1136 0.469E-05 0.486E-05 0.445E-05 0.501E-05
    1137 0.601E-05 0.601E-05 0.305E-05 0.500E-05
    1138 0.607E-05 0.523E-05 0.444E-05 0.500E-05
    1139 0.595E-05 0.636E-05 0.548E-05 0.499E-05
    1140 0.551E-05 0.635E-05 0.474E-05 0.499E-05
    1141 0.703E-05 0.486E-05 0.356E-05 0.499E-05
    1142 0.609E-05 0.448E-05 0.407E-05 0.499E-05
    1143 0.797E-05 0.523E-05 0.289E-05 0.498E-05
    1144 0.641E-05 0.523E-05 0.344E-05 0.498E-05
    1145 0.660E-05 0.523E-05 0.305E-05 0.498E-05
    1146 0.677E-05 0.381E-05 0.384E-05 0.498E-05
    1147 0.690E-05 0.671E-05 0.288E-05 0.498E-05
    1148 0.701E-05 0.261E-05 0.250E-05 0.498E-05
    1149 0.708E-05 0.503E-05 0.283E-05 0.498E-05
    1150 0.713E-05 0.503E-05 0.301E-05 0.498E-05
    1151 0.713E-05 0.396E-05 0.303E-05 0.498E-05
    1152 0.719E-05 0.463E-05 0.328E-05 0.498E-05
    1153 0.722E-05 0.528E-05 0.297E-05 0.498E-05
    1154 0.721E-05 0.545E-05 0.244E-05 0.498E-05
    1155 0.718E-05 0.373E-05 0.329E-05 0.499E-05
    1156 0.712E-05 0.366E-05 0.313E-05 0.499E-05
    1157 0.713E-05 0.347E-05 0.340E-05 0.499E-05
    1158 0.692E-05 0.629E-05 0.376E-05 0.499E-05
    1159 0.678E-05 0.337E-05 0.364E-05 0.499E-05
    1160 0.661E-05 0.463E-05 0.470E-05 0.500E-05
    1161 0.643E-05 0.454E-05 0.287E-05 0.500E-05
    1162 0.622E-05 0.348E-05 0.313E-05 0.500E-05
    1163 0.659E-05 0.463E-05 0.318E-05 0.500E-05
    1164 0.574E-05 0.347E-05 0.251E-05 0.501E-05
    1165 0.549E-05 0.425E-05 0.405E-05 0.501E-05
    1166 0.521E-05 0.338E-05 0.236E-05 0.501E-05
    1167 0.492E-05 0.925E-05 0.237E-05 0.502E-05
    1168 0.461E-05 0.366E-05 0.243E-05 0.502E-05
    1169 0.560E-05 0.810E-05 0.295E-05 0.502E-05
    1170 0.545E-05 0.352E-05 0.301E-05 0.503E-05
    1171 0.405E-05 0.375E-05 0.343E-05 0.503E-05
    1172 0.463E-05 0.868E-05 0.323E-05 0.503E-05
    1173 0.328E-05 0.522E-05 0.272E-05 0.504E-05
    1174 0.422E-05 0.434E-05 0.390E-05 0.504E-05
    1175 0.422E-05 0.375E-05 0.297E-05 0.504E-05
    1176 0.609E-05 0.504E-05 0.263E-05 0.505E-05
    1177 0.470E-05 0.375E-05 0.335E-05 0.505E-05
    1178 0.418E-05 0.469E-05 0.267E-05 0.505E-05
    1179 0.365E-05 0.469E-05 0.263E-05 0.506E-05
    1180 0.365E-05 0.469E-05 0.301E-05 0.506E-05
    1181 0.313E-05 0.469E-05 0.335E-05 0.506E-05
    1182 0.293E-05 0.469E-05 0.369E-05 0.506E-05
    1183 0.293E-05 0.733E-05 0.382E-05 0.507E-05
    1184 0.313E-05 0.469E-05 0.415E-05 0.507E-05
    1185 0.365E-05 0.580E-05 0.377E-05 0.507E-05
    1186 0.365E-05 0.580E-05 0.341E-05 0.507E-05
    1187 0.322E-05 0.319E-05 0.376E-05 0.508E-05
    1188 0.261E-05 0.308E-05 0.437E-05 0.508E-05
    1189 0.322E-05 0.547E-05 0.339E-05 0.508E-05
    1190 0.375E-05 0.386E-05 0.376E-05 0.508E-05
    1191 0.469E-05 0.331E-05 0.254E-05 0.508E-05
    1192 0.563E-05 0.381E-05 0.266E-05 0.508E-05
    1193 0.469E-05 0.331E-05 0.198E-05 0.508E-05
    1194 0.377E-05 0.363E-05 0.309E-05 0.509E-05
    1195 0.469E-05 0.381E-05 0.276E-05 0.509E-05
    1196 0.346E-05 0.322E-05 0.607E-05 0.509E-05
    1197 0.355E-05 0.386E-05 0.496E-05 0.509E-05
    1198 0.362E-05 0.315E-05 0.418E-05 0.509E-05
    1199 0.422E-05 0.461E-05 0.418E-05 0.509E-05
    1200 0.516E-05 0.750E-05 0.339E-05 0.509E-05
    1201 0.418E-05 0.516E-05 0.415E-05 0.509E-05
    1202 0.516E-05 0.925E-05 0.263E-05 0.509E-05
    1203 0.469E-05 0.418E-05 0.397E-05 0.509E-05
    1204 0.521E-05 0.470E-05 0.415E-05 0.509E-05
    1205 0.516E-05 0.563E-05 0.339E-05 0.509E-05
    1206 0.418E-05 0.563E-05 0.348E-05 0.509E-05
    1207 0.405E-05 0.636E-05 0.309E-05 0.509E-05
    1208 0.516E-05 0.337E-05 0.305E-05 0.508E-05
    1209 0.522E-05 0.563E-05 0.415E-05 0.509E-05
    1210 0.418E-05 0.373E-05 0.360E-05 0.508E-05
    1211 0.516E-05 0.337E-05 0.415E-05 0.508E-05
    1212 0.418E-05 0.484E-05 0.280E-05 0.508E-05
    1213 0.347E-05 0.514E-05 0.343E-05 0.508E-05
    1214 0.405E-05 0.547E-05 0.280E-05 0.508E-05
    1215 0.516E-05 0.322E-05 0.339E-05 0.508E-05
    1216 0.418E-05 0.547E-05 0.271E-05 0.507E-05
    1217 0.609E-05 0.925E-05 0.339E-05 0.507E-05
    1218 0.418E-05 0.547E-05 0.231E-05 0.507E-05
    1219 0.347E-05 0.337E-05 0.463E-05 0.507E-05
    1220 0.563E-05 0.425E-05 0.284E-05 0.507E-05
    1221 0.469E-05 0.636E-05 0.318E-05 0.506E-05
    1222 0.365E-05 0.514E-05 0.328E-05 0.506E-05
    1223 0.365E-05 0.447E-05 0.356E-05 0.506E-05
    1224 0.422E-05 0.425E-05 0.275E-05 0.506E-05
    1225 0.516E-05 0.547E-05 0.348E-05 0.506E-05
    1226 0.418E-05 0.514E-05 0.331E-05 0.505E-05
    1227 0.365E-05 0.414E-05 0.275E-05 0.505E-05
    1228 0.422E-05 0.308E-05 0.331E-05 0.505E-05
    1229 0.470E-05 0.265E-05 0.314E-05 0.505E-05
    1230 0.422E-05 0.308E-05 0.364E-05 0.505E-05
    1231 0.422E-05 0.261E-05 0.364E-05 0.504E-05
    1232 0.422E-05 0.282E-05 0.348E-05 0.504E-05
    1233 0.422E-05 0.256E-05 0.343E-05 0.504E-05
    1234 0.422E-05 0.249E-05 0.301E-05 0.504E-05
    1235 0.422E-05 0.252E-05 0.295E-05 0.504E-05
    1236 0.422E-05 0.249E-05 0.298E-05 0.504E-05
    1237 0.422E-05 0.308E-05 0.298E-05 0.504E-05
    1238 0.422E-05 0.243E-05 0.325E-05 0.504E-05
    1239 0.422E-05 0.308E-05 0.356E-05 0.504E-05
    1240 0.422E-05 0.220E-05 0.345E-05 0.503E-05
    1241 0.422E-05 0.215E-05 0.349E-05 0.503E-05
    1242 0.422E-05 0.232E-05 0.416E-05 0.503E-05
    1243 0.422E-05 0.249E-05 0.231E-05 0.503E-05
    1244 0.405E-05 0.298E-05 0.231E-05 0.503E-05
    1245 0.469E-05 0.348E-05 0.231E-05 0.503E-05
    1246 0.469E-05 0.293E-05 0.231E-05 0.503E-05
    1247 0.469E-05 0.233E-05 0.231E-05 0.504E-05
    1248 0.469E-05 0.265E-05 0.231E-05 0.504E-05
    1249 0.469E-05 0.308E-05 0.213E-05 0.504E-05
    1250 0.469E-05 0.281E-05 0.263E-05 0.503E-05
    1251 0.469E-05 0.410E-05 0.260E-05 0.504E-05
    1252 0.469E-05 0.308E-05 0.331E-05 0.504E-05
    1253 0.375E-05 0.240E-05 0.466E-05 0.504E-05
    1254 0.375E-05 0.308E-05 0.281E-05 0.504E-05
    1255 0.375E-05 0.308E-05 0.314E-05 0.504E-05
    1256 0.375E-05 0.308E-05 0.284E-05 0.504E-05
    1257 0.410E-05 0.213E-05 0.287E-05 0.504E-05
    1258 0.328E-05 0.218E-05 0.252E-05 0.504E-05
    1259 0.328E-05 0.252E-05 0.308E-05 0.504E-05
    1260 0.347E-05 0.249E-05 0.348E-05 0.504E-05
    1261 0.335E-05 0.414E-05 0.407E-05 0.504E-05
    1262 0.347E-05 0.414E-05 0.318E-05 0.504E-05
    1263 0.347E-05 0.308E-05 0.377E-05 0.504E-05
    1264 0.261E-05 0.294E-05 0.470E-05 0.504E-05
    1265 0.261E-05 0.343E-05 0.369E-05 0.505E-05
    1266 0.289E-05 0.294E-05 0.381E-05 0.505E-05
    1267 0.261E-05 0.294E-05 0.403E-05 0.505E-05
    1268 0.261E-05 0.294E-05 0.420E-05 0.505E-05
    1269 0.289E-05 0.609E-05 0.418E-05 0.505E-05
    1270 0.396E-05 0.328E-05 0.415E-05 0.505E-05
    1271 0.261E-05 0.335E-05 0.407E-05 0.505E-05
    1272 0.261E-05 0.335E-05 0.377E-05 0.505E-05
    1273 0.261E-05 0.322E-05 0.411E-05 0.505E-05
    1274 0.261E-05 0.308E-05 0.445E-05 0.505E-05
    1275 0.261E-05 0.308E-05 0.458E-05 0.505E-05
    1276 0.261E-05 0.328E-05 0.521E-05 0.505E-05
    1277 0.281E-05 0.299E-05 0.290E-05 0.505E-05
    1278 0.281E-05 0.322E-05 0.307E-05 0.505E-05
    1279 0.299E-05 0.299E-05 0.396E-05 0.505E-05
    1280 0.299E-05 0.299E-05 0.271E-05 0.505E-05
    1281 0.210E-05 0.523E-05 0.253E-05 0.505E-05
    1282 0.299E-05 0.299E-05 0.217E-05 0.505E-05
    1283 0.281E-05 0.373E-05 0.235E-05 0.505E-05
    1284 0.281E-05 0.373E-05 0.235E-05 0.505E-05
    1285 0.299E-05 0.598E-05 0.235E-05 0.505E-05
    1286 0.299E-05 0.598E-05 0.174E-05 0.505E-05
    1287 0.299E-05 0.598E-05 0.174E-05 0.505E-05
    1288 0.299E-05 0.598E-05 0.174E-05 0.505E-05
    1289 0.299E-05 0.598E-05 0.208E-05 0.505E-05
    1290 0.299E-05 0.598E-05 0.174E-05 0.505E-05
    1291 0.299E-05 0.598E-05 0.182E-05 0.505E-05
    1292 0.299E-05 0.598E-05 0.235E-05 0.505E-05
    1293 0.299E-05 0.598E-05 0.250E-05 0.505E-05
    1294 0.375E-05 0.598E-05 0.195E-05 0.505E-05
    1295 0.375E-05 0.486E-05 0.202E-05 0.505E-05
    1296 0.563E-05 0.672E-05 0.271E-05 0.505E-05
    1297 0.281E-05 0.710E-05 0.271E-05 0.505E-05
